name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance	superkingdom	kingdom	phylum	class	order	family	genus
root	1	no rank	0	1647	979	0.0 							
Bacteria	2	superkingdom	0	21266	6878	0.0 	Bacteria						
Azorhizobium	6	genus	0	174	0	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Azorhizobium
Azorhizobium caulinodans	7	species	32114	257	2	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Azorhizobium
Buchnera aphidicola	9	species	898280	7651	3445	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera
Cellvibrio	10	genus	0	45	0	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio
Cellulomonas gilvus	11	species	0	150	0	0.0 	Bacteria		Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas
Dictyoglomus	13	genus	0	42	0	0.0 	Bacteria		Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus
Dictyoglomus thermophilum	14	species	17577	75	2	0.0 	Bacteria		Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus
Methylophilus	16	genus	0	10	0	0.0 	Bacteria		Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylophilus
Methylophilus methylotrophus	17	species	76173	44	18	0.0 	Bacteria		Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylophilus
Pelobacter	18	genus	0	107	0	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter
Pelobacter carbinolicus	19	species	3351	121	0	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter
Phenylobacterium	20	genus	0	83	0	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
Shewanella	22	genus	0	1118	110	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
Shewanella putrefaciens	24	species	295365	187	13	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
Shewanella hanedai	25	species	42718	39	4	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
Myxococcales	29	order	0	3951	0	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales		
Myxococcaceae	31	family	0	616	0	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	
Myxococcus	32	genus	0	1169	1	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus
Myxococcus fulvus	33	species	247270	610	18	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus
