name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
root	1	no rank	0	1647	979	0.0
Bacteria	2	superkingdom	0	21266	6878	0.0
Azorhizobium	6	genus	0	174	0	0.0
Azorhizobium caulinodans	7	species	32114	257	2	0.0
Buchnera aphidicola	9	species	898280	7651	3445	0.0
Cellvibrio	10	genus	0	45	0	0.0
Cellulomonas gilvus	11	species	0	150	0	0.0
Dictyoglomus	13	genus	0	42	0	0.0
Dictyoglomus thermophilum	14	species	17577	75	2	0.0
Methylophilus	16	genus	0	10	0	0.0
Methylophilus methylotrophus	17	species	76173	44	18	0.0
Pelobacter	18	genus	0	107	0	0.0
Pelobacter carbinolicus	19	species	3351	121	0	0.0
Phenylobacterium	20	genus	0	83	0	0.0
Shewanella	22	genus	0	1118	110	0.0
Shewanella putrefaciens	24	species	295365	187	13	0.0
Shewanella hanedai	25	species	42718	39	4	0.0
Myxococcales	29	order	0	3951	0	0.0
Myxococcaceae	31	family	0	616	0	0.0
Myxococcus	32	genus	0	1169	1	0.0
Myxococcus fulvus	33	species	247270	610	18	0.0
Myxococcus xanthus	34	species	1289384	1180	162	0.0
Corallococcus macrosporus	35	species	52824	62	1	0.0
Angiococcus disciformis	38	species	126068	209	40	0.0
Cystobacteraceae	39	family	0	298	0	0.0
Stigmatella	40	genus	0	53	0	0.0
Stigmatella aurantiaca	41	species	132184	580	58	0.0
Cystobacter	42	genus	0	13	0	0.0
Cystobacter fuscus	43	species	148451	113	75	0.0
Melittangium	44	genus	0	4	0	0.0
Melittangium lichenicola	45	species	72656	19	10	0.0
Archangium	47	genus	0	152	0	0.0
Archangium gephyra	48	species	12368565	11639	7336	0.0
Polyangiaceae	49	family	0	280	0	0.0
Chondromyces	50	genus	0	44	0	0.0
Chondromyces apiculatus	51	species	7866	3	2	0.0
Chondromyces crocatus	52	species	11582598	7216	4763	0.0
Nannocystis	53	genus	0	4	0	0.0
Nannocystis exedens	54	species	16140	52	3	0.0
Sorangium cellulosum	56	species	1651100	1560	352	0.0
Herpetosiphon	64	genus	0	13	0	0.0
Herpetosiphon aurantiacus	65	species	35171	57	15	0.0
Lysobacter	68	genus	0	718	0	0.0
Lysobacter enzymogenes	69	species	5892798	7809	3381	0.0
Caulobacter	75	genus	0	374	0	0.0
Hyphomicrobium	81	genus	0	348	0	0.0
Hyphomicrobium sp.	82	species	7961	1	1	0.0
Hyphomicrobium methylovorum	84	species	20455	10	8	0.0
Hyphomonas	85	genus	0	70	1	0.0
